"Phenotype.Code"	"Phenotype.Description"	"UK.Biobank.Data.Showcase.Link"	"Sex"	"File"	"wget.command"	"AWS.File"	"Dropbox.File"	"md5s"
"100021_irnt"	"Vitamin D"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100021"	"both_sexes"	"100021_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/100021_irnt.gwas.imputed_v3.both_sexes.tsv.bgz -O 100021_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/100021_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://www.dropbox.com/s/0p5k7vfvwv96qha/100021_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"a25d0795c375ac0bc1dea9ee50b4c7e0"
"20016_irnt"	"Fluid intelligence score"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20016"	"both_sexes"	"20016_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/20016_irnt.gwas.imputed_v3.both_sexes.tsv.bgz -O 20016_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/20016_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://www.dropbox.com/s/t3lrfj1id8133sx/20016_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"822a05705dd2385cc9d803fded75503c"
"21001_irnt"	"Body mass index (BMI)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=21001"	"both_sexes"	"21001_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/21001_irnt.gwas.imputed_v3.both_sexes.tsv.bgz -O 21001_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/21001_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://www.dropbox.com/s/gulqmkaighh8w3b/21001_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"39a945edde49a3ac39b7a1ab3f5e7ac9"
"21002_irnt"	"Weight"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=21002"	"both_sexes"	"21002_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/21002_irnt.gwas.imputed_v3.both_sexes.tsv.bgz -O 21002_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/21002_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://www.dropbox.com/s/fapyrl83obwgbaw/21002_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"97d5d2de59a27f03064618b124a99f37"
"23100_irnt"	"Whole body fat mass"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23100"	"both_sexes"	"23100_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/23100_irnt.gwas.imputed_v3.both_sexes.tsv.bgz -O 23100_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/23100_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://www.dropbox.com/s/fi4i7y8kwbgdnne/23100_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"e33f42ebacef4b89bdec028f589ae212"
"30080_irnt"	"Platelet count"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30080"	"both_sexes"	"30080_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30080_irnt.gwas.imputed_v3.both_sexes.tsv.bgz -O 30080_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30080_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://www.dropbox.com/s/1qs4ydtbeg3i9p0/30080_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"8a7be6476e820d239309e0a14d5a130c"
"30140_irnt"	"Neutrophill count"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30140"	"both_sexes"	"30140_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30140_irnt.gwas.imputed_v3.both_sexes.tsv.bgz -O 30140_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/30140_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://www.dropbox.com/s/52lz6qu49cakybr/30140_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"6554dd335f7cd06f0b70b11bdc7f437e"
"3062_irnt"	"Forced vital capacity (FVC)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3062"	"both_sexes"	"3062_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/3062_irnt.gwas.imputed_v3.both_sexes.tsv.bgz -O 3062_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/3062_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://www.dropbox.com/s/7rarqv3y2ld6mm7/3062_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"0c61b443f31e7abba189a4b5c49fda72"
"3148_irnt"	"Heel bone mineral density (BMD)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3148"	"both_sexes"	"3148_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/3148_irnt.gwas.imputed_v3.both_sexes.tsv.bgz -O 3148_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/3148_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://www.dropbox.com/s/55uy92wh3w4xkt6/3148_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"b670384333659cfdf3f42c324aec5bfb"
"47_irnt"	"Hand grip strength (right)"	"http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=47"	"both_sexes"	"47_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/47_irnt.gwas.imputed_v3.both_sexes.tsv.bgz -O 47_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/47_irnt.gwas.imputed_v3.both_sexes.tsv.bgz"	"https://www.dropbox.com/s/eqkm9trv8nxr8ub/47_irnt.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0"	"2015c8c220318b2f3f6e5a3580b372a1"
